gen,media_relapse,media_no_relapse,log2FC,p_valor,FDR
214777_at,6.3485,7.9695,-1.621,4.146076641466248e-06,0.005329940987091072
216365_x_at,4.614,5.9548,-1.3407,7.188153097309814e-06,0.0074344352606233255
216984_x_at,6.7019,8.1839,-1.482,8.452266033499473e-06,0.0074344352606233255
217157_x_at,7.7678,8.7906,-1.0229,8.32125531345433e-06,0.0074344352606233255
211798_x_at,6.9086,8.0386,-1.13,1.623274981315374e-05,0.008459081883037822
214669_x_at,10.3555,11.5016,-1.1461,1.8377643006545294e-05,0.008459081883037822
211644_x_at,7.7481,9.2606,-1.5125,2.0902721111084125e-05,0.008459081883037822
217378_x_at,6.7345,8.4755,-1.741,1.1153835973868515e-05,0.008459081883037822
217148_x_at,8.7243,9.9613,-1.2369,1.2751159982208805e-05,0.008459081883037822
217258_x_at,6.257,7.4742,-1.2172,1.1814797014568317e-05,0.008459081883037822
215176_x_at,8.6022,10.1568,-1.5546,2.1199184329355654e-05,0.008459081883037822
211637_x_at,5.1273,6.4466,-1.3193,2.7045684504135295e-05,0.009825814770284979
215121_x_at,12.0117,13.2911,-1.2794,3.2489561820334206e-05,0.010441645329642793
216576_x_at,7.4399,8.7952,-1.3552,3.9934581275188973e-05,0.011917620040552824
204540_at,9.4201,8.3525,1.0676,4.101479197064806e-05,0.012025249182692464
216401_x_at,6.5913,8.0671,-1.4758,4.297282676121026e-05,0.01215826247810302
207430_s_at,7.1144,5.7745,1.3399,4.846462414968226e-05,0.012460627673684459
213201_s_at,7.6059,6.3348,1.2711,5.16728450417505e-05,0.013084190702086884
215214_at,6.436,7.676,-1.24,5.361432764549954e-05,0.013373173785247586
204933_s_at,3.7265,4.7998,-1.0733,7.810156830710984e-05,0.015355687171157878
214858_at,7.2827,6.1928,1.0898,8.52046569888216e-05,0.015510426901507429
217281_x_at,4.3885,5.7443,-1.3559,8.366097228188401e-05,0.015510426901507429
216510_x_at,5.4456,6.5778,-1.1322,9.080328026253382e-05,0.015769771565512566
215379_x_at,10.927,12.0503,-1.1233,0.00011060594115877699,0.016842990416974134
211634_x_at,6.1507,7.1656,-1.0149,0.00011337660738341793,0.01692819754582601
210297_s_at,7.6166,6.4156,1.201,0.0001156910491180157,0.017023069808320912
209138_x_at,12.4239,13.5604,-1.1365,0.00011717509269052128,0.017028088252556448
211645_x_at,8.3642,9.6087,-1.2445,0.00013699628914716578,0.018508747662341462
216491_x_at,4.9134,6.2055,-1.2922,0.00016222307246276248,0.01991459213324704
216560_x_at,4.8408,6.1191,-1.2783,0.00020929700757786675,0.021904794183348213
221286_s_at,6.7073,7.8085,-1.1012,0.00020971559773430554,0.021904794183348213
206391_at,6.1254,7.2075,-1.0821,0.0005692310274297561,0.0321607340212305
205509_at,9.7847,8.5784,1.2063,0.0006168606824607254,0.03362306418056644
209374_s_at,9.6225,10.6568,-1.0343,0.0007093058744338618,0.03538483514489164
204623_at,12.0091,10.9641,1.045,0.001358437812828483,0.04667308618809845
